aid1,aid2,PublicationId,Year
210,420,1984493788,2012
764,823,1981239453,2012
203,798,964936750,2012
203,759,964936750,2012
203,743,964936750,2012
420,564,1984493788,2012
564,797,1984493788,2012
187,241,1512262279,2012
420,797,1984493788,2012
241,303,1512262279,2012
172,679,2579716123,2012
163,249,2110234844,2012
116,684,2110234844,2012
116,249,2110234844,2012
116,163,2110234844,2012
201,506,2137402828,2012
187,825,964936750,2012
203,303,964936750,2012
187,798,964936750,2012
203,467,964936750,2012
203,708,964936750,2012
335,764,1981239453,2012
142,144,2014396719,2012
203,735,964936750,2012
0,378,1993662889,2013
198,378,1993662889,2013
35,967,1523814020,2013
0,9,1993662889,2013
443,933,2201123404,2013
158,631,1489386544,2013
215,270,127180787,2013
0,462,1993662889,2013
650,1040,2561697052,2013
9,198,1993662889,2013
449,967,1523814020,2013
9,378,1993662889,2013
121,198,1993662889,2013
121,378,1993662889,2013
134,158,1489386544,2013
34,933,2201123404,2013
9,121,1993662889,2013
0,198,1993662889,2013
159,423,2614624087,2013
511,629,2323568092,2013
34,443,2201123404,2013
650,654,2561697052,2013
20,423,2612421865,2013
14,423,2614624087,2013
159,732,2614624087,2013
378,462,1993662889,2013
33,352,2000350026,2013
134,626,1489386544,2013
159,452,2614624087,2013
134,631,1489386544,2013
158,443,1489386544,2013
198,462,1993662889,2013
158,626,1489386544,2013
443,626,1489386544,2013
443,631,1489386544,2013
626,631,1489386544,2013
121,462,1993662889,2013
902,977,2617106281,2013
9,462,1993662889,2013
452,732,2614624087,2013
423,732,2614624087,2013
423,452,2614624087,2013
1,97,2017595810,2013
515,680,2617106281,2013
0,121,1993662889,2013
682,977,2617106281,2013
515,902,2617106281,2013
515,977,2617106281,2013
680,682,2617106281,2013
680,902,2617106281,2013
680,977,2617106281,2013
682,902,2617106281,2013
515,682,2617106281,2013
654,1040,2561697052,2013
18,204,2017595810,2013
18,97,2017595810,2013
1,522,2017595810,2013
1,381,2017595810,2013
733,791,2624809311,2013
134,443,1489386544,2013
466,977,2617106281,2013
466,902,2617106281,2013
466,682,2617106281,2013
466,680,2617106281,2013
466,515,2617106281,2013
35,449,1523814020,2013
33,553,2000350026,2013
733,1018,2624809311,2013
239,492,2006332810,2013
134,722,2012261924,2013
791,1018,2624809311,2013
1,18,2017595810,2013
1,204,2017595810,2013
1,375,2017595810,2013
